,text
419,"Hab zwar kein Ei-Phone, dafür aber ein HUAW🥚. 😂 - Also passt es schon. 😉"
420,🤣 Ich liebs
421,On Wednesdays we drink pink. #nailedit #youcantsipwithus
422,Das ist einfach der beste Smoothie
423,Hmm wie lecker das aussieht 😍
424,Das Internet vergisst nicht!
425,Meine Lieblingssorte 💗
426,Geil
427,😂
428,Das Internet vergisst euer rassistisches Verhalten nicht. 🖕🏼
429,Geil
430,Das ist der beste
431,Cringe
432,Nein zu Rassismus!
433,😍😍
434,Cringe eue Humor aber eui Gsöff sind echt stabiiil 🤣👌🏻
435,Absoluter Favorit 🤤😍
436,"Hmm lecker, schon mit der Banane in die rote See stechen 😁"
437,Ihr seid immer noch racist - das Internet vergisst nicht
438,Idee von @aldinord kopiert?
439,@thy_ass_is_murder
440,Drachenfrucht zähmen leicht gemacht. #canyouhandlethis #fabelhaft
441,🔥🔥🔥
442,😍😍😍
443,🤤
444,Woher bekommt ihr eure Drachenfrüchte? Ich möchte nämlich selbst welche anpflanzen.
445,"Wenn Du wirklich was zu bieten hast und einen Ausbildungsplatz als Kaufmann/ -frau für Büromanagement willst, guck mal auf unserer Internetseite vorbei & schreib uns eine Mail an jobs@true-fruits.com #neuelieblingsstellung #truefruits"
446,😍😍😍
447,So ist es 👌
448,😂
449,Mein liebling!❤️❤️❤️❤️
450,Cringe
451,Für euer online Marketing arbeiten... sehe ich mich
452,ahso warte falsch gelesen
453,deswegen studium abgebrochen😼
454,Das ist Fakt. 🤓
455,Eure Sprüche werden immer schlechter
456,Unseren Sprühblüher findest Du unter true-fruits.com/upcycling #sprühling #achdumeineblüte
457,Coole Idee 👏
458,Pflanz oder garnicht. #übersichhinauswachsen #zeitfürwaxing
459,Flanziska likes.
460,"Gibt es eine Anleitung wie man die Aufhängungen knotet? Oder sind die gekauft, wenn ja wo?"
461,Wir wollen saufen!
462,@buenoshurup
463,So nämlich 😁
464,"Im Auto sitzen
Radio an
Scheibe hoch
Erstmal einen saufen!"
465,😍😍😍
466,Wo bekomme ich diesen Deckel her? 😍
467,Ich auch 😂
468,"Smoothie danach, Smoothie davor - Smoothie DABEI."
469,@ingo_ohne_flamingo_official
470,Hurra!
471,Red ruhig weiter #denglisch #enjoylifeinfulltrains
472,Soooo lecker 😍
473,Shrimply the best #dödödödö
474,"Wirklich n🍦 idee mit den aufsätzen, nur leider sind die maßlos überteuert #kirchenmaus"
475,Wird der Seifenspender-Aufsatz jemals wieder verfügbar sein? 😯
476,Ich hoffe in dem Frühlingssmoothie sind keine Shrimps.
477,"Es ist Sonntag, erstmal Füße hoch. #obstcouture #faulesocke"
478,Ich hoffe mein smoothie wird so geprwsst
479,Ist das eine Twin Peaks Referenz?
480,😏😏😏😏
481,Vllt. mal die Füßchen still halten ! Hm?
482,#truefootsmoothies
483,Online Füße zeigen ist immer ein Wagnis 👀
484,Das Wunder von Beeren #achtungderkommtflach #kickttrotzdem #abernichtlikebeckham #egalhauptsachefreitag
485,Der spoiler zu gossip girl ist übrigens absolut nicht cool auf der Flasche🤦🏽‍♀️
486,Wann kommt die Frühlingsedition😍😍
487,Wo gibt es den?
488,…viel Vitamin C steckt in unserem Goldenen Shot. #500mg
489,Den könnte ich zur Corona - Genesung gebrauchen. In unserem Rewe allerdings nichts zu kaufen.🥲
490,🔥😍
491,Schmeckt auf jeden Fall gut 👍🏻
492,Gibt das Bundesinstitut für Risikobewertung nicht eine Empfehlung von maximal 250mg pro Tag an 🤔
493,@tlow1708 @t_virginia_ Lieferung erfolgt zeitnah 😉😊😬
494,Sauber!
495,@stay_zi einmal alle bitte :)
496,Der Hammer #handsdown
497,"𝐈 𝐬𝐭𝐚𝐫𝐭𝐞𝐝 𝐰𝐢𝐭𝐡 $1000 𝐚𝐧𝐝 𝐢𝐧 5days 𝐢 𝐰𝐚𝐬 𝐜𝐫𝐞𝐝𝐢𝐭𝐞𝐝 $5,000 𝐞𝐱𝐜𝐥𝐮𝐝𝐢𝐧𝐠 𝗺𝐲 $1000 𝐬𝐭𝐚𝐫𝐭𝐮𝐩 𝐜𝐚𝐩𝐢𝐭𝐚𝐥. 𝐈𝗺𝐚𝐠𝐢𝐧𝐞 𝐡𝗼𝐰 𝗺𝐮𝐜𝐡 𝐲𝗼𝐮 𝐰𝐢𝐥𝐥 𝗺𝐚𝐤𝐞 𝐰𝐢𝐭𝐡 𝐚 𝐡𝐢𝐠𝐡𝐞𝐫 𝐬𝐭𝐚𝐫𝐭𝐮𝐩 𝐜𝐚𝐫𝐩𝐢𝐭𝐚𝐥? Thanks @earn_with_dorothy_harris"
498,Geile Ringe
499,"T-0,367 Sekunden. Schrödingers Smoothie."
500,he cant hear us he has headphones💔
501,NOOO GOLD ENER SHOT WATCH OUT
502,Hammermäßig 😍
503,Gute Goldanlage! #hoheliquidität #goldbeutel
504,Heute mal zum testen mitgenommen
505,Der Shot mit der goldenen Uhr 😂😂😂
506,Wer kann?!?... der kann! 😂😍🙌❤️
507,Der Goldene Sch(n)atz 🙌 #nimmdass3000
508,Es ist das Gold wert. #goldgeil #vitamincshot
509,Mal wieder sensationell 👏
510,"Sehr makaber vom Namen her. Schon mal etwas vom Goldenen Schuss gehört? Bezeichnet auch eine letzte/Überdosis Heroin, die dann am Ende zum Tod führt. Schwierig der Name."
511,Bei dem Preis Wunder ich mich jz nicht mehr :0
512,🔥
513,Das sieht ja arg lakörig aus - NICE!🔥
514,"Liebes true fruits team.
Was ist das für nen cooler Mixer? Jedesmal wenn ich versuche meine Goldringe zu mixen, fliegt mir mein das Teil um die Ohren. Kann ich mir euren mal leihen?"
515,Steht schon in meinem Regal🔥
516,Schmeckt gut 🔥
517,Sehr cool ✨!
518,Der ist echt gut 😍 schmeckt mir besser als die anderen shots bin euch
519,Leider geil 🙌
520,Ist die goldene Uhr auch drin? 😂
521,Sind ihre Smoothie Rohkost?
522,Schmeckt mir nicht.
523,@pinkpersianunicorn dein Spot ist deutlich gelungener🔥
524,@janinavlk wird Zeit dass wir den endlich trinken 🤨
525,Tja @truefruitssmoothies eure Produkte gibt es hier leider auf Kreta nirgends!
526,@truefruitssmoothies ist DAS wirklich eure Werbung für das Ding? Wollt ihr nicht lieber die Mösi @pinkpersianunicorn bei euch ins Marketing setzen? Dann klappt auch mit ner geilen Werbung 😍😂😂😂
527,Old but gold #goldwert
528,nicht schlicht #schlichtweg
529,Wie erklärt diesen Preis?
530,Warum nur als limited Edition?
531,Ich hab mir gerade erst zwei davon gekauft!
532,Nimm’s selbst in die Hand! #handlich
533,@___alesja______
534,Ist der auch in der Schweiz erhältlich?
535,@ginatoettel @_vicky_klaus_
536,Schmeckt gut 👍 🤤
537,"Ab jetzt im Kühlregal: Unsere Shot Limited Edition no. 4. Der goldene Shot ist ein Mix aus Acerola, Orange, Ingwer, Agave, Gojibeeren, Zitrone und Maracuja und enthält 500mg Vitamin C pro Pulle."
538,@_neram_92
539,Wo gibt es den in Frankfurt am Main?
540,Can you send to Belgium?
541,Der bisher beste 😍
542,@truefruitssmoothies Könnt ihr mir sagen wo ich das in Darmstadt und Umgebung finde? Die ersten drei Limiteds hab ich leider nicht gefunden…😢
543,"Bin ich eigentlich die Einige, die bei dem Nsmen irgendeine Art von ENERgy erwartet hatte? Mal abgesehen von Vitaminen und Spice? 😒"
544,"Der goldene Schuss 😂
Auch mit diacetylmorphin?"
545,@soeren_linke ☺️
546,@goereas Kaufland vielleicht
547,@lars.g2304 😮😍
548,Könnt ihr mir sagen wo in Duisburg ich den bekommen kann?
549,@magda.lena.rlg 😍
550,Ich werde es nie verstehen: warum gibt es nicht ALLE Produkte bei Euch im Onlineshop zu kaufen !? 🤨
551,@melaniekirmsse den brauch ich! 😍
552,Kann mir jemand sagen was Shot Limited Edition No.1-3 ist?
553,@m.ortimer 👀 auf
554,@janinavlk den brauchen wir !
555,Gibt's bei uns schon im HIT
556,😋🤤🤤
557,Schon probiert 👍👍👍
558,Hier seht ihr unsere neuen Flaschentexte auf den 750ml Pullen. Zu Späßen sind wir im Moment nicht aufgelegt
559,Sind Ihre Smoothie Rohkost oder?
560,Wie? Sonst habt ihr doch immer was rassistisches oder sexistisches auf Lager
561,Mal ein mit Erdbeere der bisschen wie Power Rade schmec
562,😍😍😍😍
563,🙌
564,Das ist wohl im Moment niemand 😢. Leider.
565,Se sun is so strong baby! 🥵 #dascheintdirdiesonneausdemglas #truefruits
566,😍
567,"Weil niemand gefragt hat:
#umgotteswillen #truefruits"
568,Wieso gibts die nicht in gross?? 😢
569,"Unfassbar lecker, langsam denke ich sogar ernsthaft darüber nach, eure Suchthotline zu benutzen!"
570,No hate aber die neue Variante stinkt ziemlich ab im Vergleich zu dem gecko auf der alten. Bitte bringt die zurück
571,Meine Lieblingssorte…warum gibts die nicht in GROSS??😍
572,@truefruitssmoothies gibts diese sorte auch in österreich- wenn ja wo?
573,😁👏
574,😋🤗🤗
575,Wieso gibt’s die Sorte nicht in Niedersachsen?! Hab ich noch nie gesehen.
576,Ich will ne Pulle mit Pinguin 🐧🐧🐧
577,@truefruitssmoothies schonmal drüber nachgedacht den in ner Säft Flasche zu verkaufen 🤔 Konsistenz ist ja fast wie Saft und ich hab die Flaschenform einfach geliebt. Zumal es mir natürlich in 750ml eh wieder zu Gute käme 🤗🙋‍♂️
578,meine lieblingssorte ❤️
579,Also ich find den Smoothie so Hammer lecker erfrischend ❤️
580,Wir wollen den Gecko 🦎 wieder!!
581,"Elementare Frage: Welcher Heilstein ist der besser für Chakrareinigungen, Rosenquarz oder Ziegelstein? #derkannnurklingen #allesnurschallundweihrauch #truefruits"
582,Löwe gibt es bei uns leider nicht 😢
583,@truefruitssmoothies gibts die noch zu kaufen? Oder sind die bald nicht mehr dabei? 🥺
584,Zwillinge sind 2 mal rastlos?
585,Ich finde kein Widder😢
586,Löwe hab ich glaub in 10 Läden gesucht...😢 nichts zu finden sehr schade hatte kein Einfluss auf mein Sternzeichen😂
587,Hab mir mein Steinbock Smoothie gekauft. Der Deckel innerhalb des Deckel und Verschluss sind Schimmelflecken und alte Rückstände…. Bin mega enttäuscht 4€ unnötig ausgeheben. 🤢
588,gibt es auch widder?
589,"Suche schon die ganze Zeit Löwe, Steinbock, Zwillinge 😔😔"
590,@truefruitssmoothies kann man die bei euch bestellen?
591,@claralinah @lailamarlie brauchen wir 💁‍♀️
592,@clieen gibt es die bei euch im Rewe oder Kaufland? Brauche Fische und Löwen 🤩
593,Ziegel
594,suche schon die ganze Zeit Fische & Stier 😢 weiß jemand wo ich die im Saarland finde ? 😢 ich hab zwischen Saarbrücken und Homburg schon fast jeden Laden abgeklappert 😢
595,@jesslibee 🦁😇💋
596,@_melly_he 😂
597,👏😂
598,Piece of art! 🤍🔮
599,Wieso ist Waage grün ? 😢
600,Will doch nur nen Widder 🥲🥺
601,"Ziegelstein ist ein Universalheilmittel, egal ob du damit deine Chakren oder den Juwelier nebenan bereinigen musst."
602,Besonders mittwochs abends #dasmachtlustaufmehr #heiligerbimbam #truefruits
603,Hahaha erwischt
604,😂🙌
605,Missetat begangen! #einfachzauberhaft #magischganzgerne #truefruits
606,❤️❤️❤️❤️❤️❤️
607,🧙🏼‍♀️
608,"50 Cent verschwendet, wenn der
letzte Schluck drin bleibt... #justalilsip #truefruits"
609,😂😂🔥
610,@god_morpheus 😂😂😂
611,😂
612,"Die schlechteste HalftimeShow seit Jahren! Miese Synchronisation, bescheidenes Playback….
Lag das am Smoothie??😂"
613,"""You can find me in the club, bottle full of @truefruitssmoothies"""
614,@n1co_tr
615,Liebe kann auch 10 Minuten warten. Jetzt das Last Minute Geschenk bei Gorillas bestellen ❤️‍🔥 #illgetyouflowernextyear #truefruits #gorillas
616,War zum Zeitpunkt des Posts schon nicht mehr lieferbar - umsonst die App runtergeladen….ein Witz!
617,"Ich liebe euch aber wenn es nicht mal in Bonn funktioniert. In Eurer Stadt. DA WO DEIN HAUS WOHNT 😬
@truefruitssmoothies Eure Ideen sind beste, aber bitte bitte liefert doch mal von jeder Sonderedition in die gesamte Bonner Region etwas mehr, damit man ne reelle Chance hat etwas davon zu kaufen. 🙏🏻🙃 #youdontsuckasmuch"
618,Ok. Bin morgen da!!
619,Ist nicht verfügbar :(
620,Ach Du Cake…! #illgetyouflowersnextyear #truefruits
621,😂❤️
622,🔥🔥🔥 Love … so much love… for your #creativebrains ♥️
623,😂😂😂😂😂 perfekt
624,😂😂😂😂👏👏👏👏
625,Lol ich feier die Flasche
626,Ich geh ein 😂
627,wo gibts die Flasche?😂
628,"Toll, dass es das bei Gorillas gibt. Nicht. Bei. Uns. :-("
629,4evalone
630,Remember das waren wahrscheinlich Kollegen
631,Ich liebe die Flasche ❤️. Bei unserem @gorillasapp leider schon ausverkauft 😭😭
632,"Sad, gibt keine @gorillasapp bei uns 😢"
633,@k.atharinaelisabeth Ach du Cake 😂 liebs ❤️
634,@f.l.o.r.i_11 erinnert mich an unsere Küche
635,"Der Valentinstag kam mal wieder aus dem nichts und Du stehst ohne Geschenk da?! Heute ist das Problem in Minuten gelöst, denn Gorillas bringt Dir unsere Valentinstags-Limited Edition direkt nach Hause. Mit ihr im Rucksack wird Dein Rider vielleicht nicht direkt zu Amor aber immerhin zum Retter in der letzten Sekunde. #illgetyouflowersnextyear #truefruits #gorillas"
636,Dabei habt ihr leider nur an die Großstadtmenschen gedacht ...
637,@madame_relaxed Q7 😂
638,"Ihr mit eurem Gorilla, gibt's nicht überall!"
639,Meine Freundin wohnt im Liefergebiet - da hab ich die Flasche hin bestellt! Nach sage und schreibe 6 Minuten hat der Typ mit der Flasche unter‘m Arm bei ihr an der Tür geklingelt! 🤩 MEHR GEHT NICHT! 👏🏼👏🏼👏🏼
640,Sehr cooles Design😊👍
641,Gibts den auch im Supermarkt?
642,@danbaen 🙄
643,...die beliefern nicht mal ein Stadtviertel in meiner Stadt. Wie soll man da bestellen??? Das ist einfach scheiße.
644,Der Dienst ist schlecht und liefert nur in der Innenstadt
645,Liefert nicht zu uns
646,Leute die gibts auch im Rewe?! Bei uns stehen die dort im Regal!
647,@nicii.223 😂😂 Wär ne Flasche für dich
648,Die sind alle zu Gorilla ins Lager....damit man schön verdient
649,❤️‍🔥❤️‍🔥❤️‍🔥
650,"Dümmere Aktion hättet ihr wahrscheinlich nicht starten können, abgesehen davon das sie evtl ausverkauft ist, werden zig Städte nicht beliefert… humorloser Schwachsinn
In der Vergangenheit konntet ihr es doch auch, warum diesmal nicht ?"
651,😎
652,@surj_sarah_
653,@1up_jonas 😂❤️
654,@tequilena
655,Bei uns liefern die nicht! Und ich hätte sie so gerne😭😭😭😭
656,❤️‍🔥
657,"Die Flasche ist der Hammer.
Die Aktion dagegen eher uncool. Wollt ihr eure Kunden eigentlich überhaupt erreichen?
Sehr schade. Bitte auch gerne mal einfach ein paar mehr Flaschen produzieren, ist ja jedes mal das gleiche mit euch.
@truefruitssmoothies"
658,"Schade, dass heute der Newsletter kommt und sie bei Gorillas schon ausverkauften sind 😢"
659,"Finde diese Aktion sehr enttäuschend, Gorillas liefert gefühlt nur in 10 Städten in Deutschland und keine einzige im Saarland. Bin sehr enttäuscht darüber, die letzten 5 Flaschen waren hier nicht erhältlich 😢"
660,"Ach wie blöd, dass ich nicht in einer Stadt wohne, in der Gorillas liefert.😢"
661,@philipp.jauss
662,🔥❤️
663,@kevin.roeder95 😂
664,I love it! 👌🏻😄🤍
665,Wann!??
666,🔥
667,"bitte, danke #urlaubsguru #truefruits"
668,#gerngeschehen 😎
669,Urlaubstage sieht text 😄😄😄
670,"Leute, ich muss meinen Urlaub immer schon im Oktober des einreichen…sowas müsst ihr früher rausbringen. 😄"
671,🤩 Dankeschön
672,"Ich, aus dem Sozialwesen, welches weder WE noch Feiertage kennt 😐"
673,😍
674,"Coole Farbe, schmeckt sicher voll lecker"
675,Hat da euer Tom Urlaub?😂
676,"ich muss mich mal bei dem Edka in meinem 11 Einwohner Kaff beschweren! Die führen eure smoothies aber die neuen Sorten und Designs sind nie dabei! Als ihr die Partei Designs zur Wahl rausgebracht habt, hab ich nur eine einzige davon gesehen"
677,Ihr fordert eine erneute Weltwirtschaftskrise heraus... das ist euch bewusst ... ja?!? 😂👏🔥
678,😂
679,Ich die in der Gastronomie arbeitet : 😑
680,@aennsen22 das ist genau deins 😜😅
681,Ja toll. Jetzt machens alle so und mein Urlaub wird nicht genehmigt 🤣
682,Arbeitgeber hassen diesen Trick
683,Funktioniert aber auch nicht für alle Berufe. 🤣
684,"Don´t drop it, cause it´s hot #smoothdog #germanysnexttopbottle #truefruits"
685,"Dass ihr scheinbar nicht wisst, was ein Apostroph ist, ist traurig - aber immer noch besser als eure rassistische „Werbung“."
686,@liiswo & @lillypeeds @esther_grm 😂😂
687,"Die falschen Zeichen statt der Apostrophe tun weh, Ihr Monster."
688,"Ihr macht richtig Spaß Leute, Chapeau 🎩🥳"
689,"Chai Tea Frühlingsedition wäre bestimmt ein genialer Verkaufsschlager, nur ob's als Smoothie Schmeckt ist die Frage😅"
690,😂😂😂 you know its lit
691,😂😂😂👌🏼
692,Aber 2022 wird Dein Jahr! #najahr #truefruits
693,@truefruitssmoothies Bitte bringt die wirklich 🔥
694,Würde mich auch interessieren
695,Gibt’s die wirklich?🐾🧸
696,"Kann ich nich aussprechen, mach ich auch nich #flaschentausch #truefruits"
697,Is da Kindermilsch drin?
698,Is ja eeekelhaft!
699,Ekelhaff ❤️
700,😂
701,Hahaaaa 😂 „bio ist für mich Müll“
702,😂
703,"mein terreri-hä-te-ri, mir egal 🥲"
704,Damit machen wir es nicht nur der waagerecht #einfachmalwaswaagen #truefruits
705,Ich habe am 23.02.2022 einen Smoothie gegauft. Als ich ihn gerade aufgemacht habe sehe ich Schimmel im Deckel und im Schraubverschluss.4€ würde ich niemals wieder ausgeben. Bin mega enttäuscht 🤢😶
706,Wie viel Wörter kann man in dem Rätsel finden?
707,Gibt es die immer noch?
708,@l0rry_992 @_lenamary
709,"😍 Wenn ihr euch für Sternzeichen & Planeten interessiert, seid ihr bei mir genaue richtig. 🪐🤍"
710,👏👏👏
711,"Also das war gestern der erste smoothie den ich je probiert habe…meine Euphorie wurde direkt bei der Farbe ausgebremst…dran gerochen…vorsichtig diese giftgrüne Pampe probiert…und total begeistert! Man schneckt das grüne Zeug klasse!!!
Die anderen trau ich mir glatt auch noch zu - aber wir wollen mal nicht übertreiben 😉"
712,🤣👍🏻👍🏻
713,"@2_kuhl Dein Auftritt, Sis! 😁 - (Leider noch nicht gefunden 😔)."
714,@das_kattl 😉 Wenn ich die jetzt noch irgendwo mal sehen würde 🍀
715,Heute gekauft 😮
716,❤️🙌🔥
717,@d_e_r_y_a1
718,Wenn Du jetzt A$AP in den Supermarkt läufst und Dir die Flasche kaufst... #bitchbetterhavemymoney #horoskopus #truefruits
719,Lol ganz besonders Rihanna würde ganz sicher nicht Gesöff von Rassisten trinken.
720,😂😂😂😂
721,@tobias_d_fadinger 😂😂
722,Astronomie>>>Astrologie
723,@mrtna.s 😂
724,Ich als stolzer Schütze bestätige das gerne
725,🔥
726,😂
727,Polizes mi govno debela
728,Klingt eher nach Zwilling 🥲
729,"letztens statt essen einf 3 sternzeichenflaschen gekauft weil zufällig gesehn und dann steht da bei schütze ""impulsivkäufe ist kein fremdwort"" danke bruder"
730,@larafuchs._ 😮
731,danke fürs gefühle visualisieren
732,@hecki.999
733,Sind wir hier bei der Deutschen Bahn gelandet oder warum ist der so spät gekommen?👀 #toolate
734,Verstehe nicht warum Leute so einen Quatsch glauben
735,@isobelli.1012 😂
736,😂😂😂😂 @lara_uschok
737,@paulineg___ du😂
738,Let the Star Wars begin! ✨ #greifnachdensternen
739,Bei uns norgends zu finden 😢 #saarbrücken
740,😍
741,Wann wie wo gibts die??😍
742,Kann ich bestätigen
743,😂😂😂
744,Wo kann man die in Nähe und Umgebung münchen kaufen ??
745,Yeah
746,Schulz!!!! 🥸
747,Ist auf den blauen Flaschen mit dem Sternzeichen Löwe und Jungfrau auch das Rewe Logo mit drauf oder ohne?
748,Ach ich keine diese Wortspiele 😍😄
749,So hints die??😮
750,Tripple air sign
751,Eeeeey...ich will n Tauri verschenken. Macht Mal was gelbes für @patracleo2.0 klar 😤 hab fast alles andere gefunden. Nur keinen Taurus UND keinen Skorpion (me)
752,"@iris15051980 den ♐ hab ich schon, brauche noch den ♊ Falls du was siehst... #duweißtbescheid 😅😅😅"
753,"Haha @truefruitssmoothies wusste ich es doch, dass ich als Waage eine Flasche bin! 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️"
754,@_mina.gl_ jip 😂🔥
755,POV Du wirst beim ersten Date gefragt… #horoskopus #truefruits
756,@sternkompass 😂
757,Ein bisschen
758,TRIPLE AIR SIGN
759,@sissi.wnrt du bist so sehr unten rechts 😂😂
760,Na klaaaarrrr
761,@kevin_wiesmann1 das letzte 😂👏
762,Gemini auf die 🥜
763,😂😂😂
764,Horoskope und Edelsteine sind toll ❤️
765,"""Horoskopus""👏😂"
766,Horoskope sind die Vorstufe zum Querdenken...
767,@heiko.holz 😂😂😂
768,@cari.ktck
769,dummes zeug
770,"Nee, ich glaub nur an den Saftladen…😉"
771,"Wenn mich jemand beim Date sowas fragt, zahle ich und gehe ich direkt 😂"
772,Logisch 🙌😍
773,"@kathi_sth weiß nicht, was die meinen"
774,"Für solche Fragen hab ich immer mein Sternzeichensmoothie in der Tasche, dass ich nicht antworten muss"
775,🤣
776,Dieses Bild soll Dich zum Kauf anstacheln #theperfectgift #truefruits
777,Also kontaktfreundlich bin ich zwar nicht wirklich aber trotzdem schmeckt der smoothie 😩🤚
778,😍
779,@sasizzl
780,Bis wann gibts die ?
781,Ja kaufe ich bin Skorpion
782,@alessi_24 ICH BRAUCH DIESE FLASCHE! 🔥
783,"Das hat geklappt, ein super Bild😍"
784,#scorpiogang♏
785,Yeah 😍
786,@cill_infinity ❤️
787,"Den Krebs 🦀hab ich schon gefangen, nun brauch ich den Schütze ♐️ noch….🥰"
788,Wenn sie im Laden auftaucht Sofort 😍
789,wann kommen die denn in die Läden? ich sehe bei uns in den rewes bisher nur welche mit komplett anderen aufschriften
790,ok überzeugt👍🏼
791,@lisa__248 hol ich dir 😏🔥
792,🦂
793,Die würd ich nehmen 🦂
794,"Wenn es die irgendwo geben würde, dann würde ich dies liebend gerne tun…"
795,Hat geklappt😅🤘🏼
796,@truefruitssmoothies kann man die Flaschen mit den Sternzeichen auch irgendwo bestellen? Leider gibt es die hier scheinbar nur vereinzelt und nie die richtigen ☹️
797,"Das ist Dein Zeichen.
#inunseremelement #horoskopus #truefruits"
798,Ich hab mir den schützrn vorhin geholt @alison.dngr 😍
799,Bekommt man die bei Edeka?
800,"War schon in mehreren Rewes, hatte bis jetzt aber noch nicht das Glück Jungfrau zu finden 😅"
801,"😍 Wenn ihr euch für Sternzeichen & Planeten interessiert, seid ihr bei mir genaue richtig. 🪐🤍"
802,Wirds den Löwe auch überall geben ? Bisher gab es den doch nur im rewe oder ?
803,die idee ist so cool ✨
804,@patracleo2.0 😌
805,Do you have a daily package(saftkur)to detox ourselves?
806,Bei uns leider nochnicht im Supermarkt erhältlich 🥲
807,*-*
808,😍
809,Gibt es die blauen nur bei Rewe oder überall? Bisher habe ich halt leider nicht eine einzige Flasche der Horoskopedition gesehen 🙈
810,😢😢😢
811,hab schon platz gemacht für weitere 12 flaschen❤️
812,"Leider noch nicht gefunden, hat sie schon jemand in einem Supermarkt in Köln gefunden, falls ja wo ?"
813,❤️
814,Leider noch nicht gefunden. die Suche geht weiter !
815,Where did you get them?
816,I got myself into 5 different relationship with 5 different smoothies of your company. Im such a libraaaaa 🙌
817,Alles reine Kopfsache #sorrynotsorry #allesnurinmeinemkopf #alexanderburani
818,@jessica_eckert_ 😂
819,So true. 🤭🪐
820,@j_e_n_n_i_96 xD
821,@hennelaun
822,@katherhaaf @_sophiaaa___ 🤷🏼‍♀️
823,@nadinepltz 😂😂
824,Das Sternzeichen heißt übrigens „ZwillingE“ 🙈
825,@_hias_98 eindeutig du 😘🤣
826,@lajanalicious ahahahahaha 😂😂😂😂😂 ich sag mal nichts 😘
827,@sebi_kapfelsperger 😂😂😂😂😂
828,@katho_leitner 🙂🙃
829,@mariano.030 ich immer 🤣🤣
830,@et.voila.ela „ups kann doch mal passieren“ 😆
831,😂
832,Wer ist Alexander Burani??? 😂😘
833,@kev_freex 😂
834,@kathi_sth ich heule 😂 könntest aber auch du sein 👀
835,Memes🔥❤️😂
836,@car.phtgrphy isso!! 😄
837,Sternhagelvoll und unwidderstehlich #doppeld #horoskopus #truefruits
838,@truefruitssmoothies kann man die auch bestellen? Bei uns in der Region in keinem Supermarkt gefunden 🙁
839,@bneey1 @_ck1108_ @fabi_ahlers 😂
840,Manchmal bin ich auch widderlich 😆
841,😍😍😍
842,Need!
843,@kat.sbi
844,@andreasschmidtgen 😍
845,@buki9318
846,Gibt es die auch in Österreich zu kaufen?
847,@christian_morgenstern 🙌🏻❤️
848,Einmal Wassermann auf die Hand
849,Kann man die auch online kaufen? @truefruitssmoothies
850,What should I say 😅🥰
851,@de_menz_ @celina_ktb @jonas_fehrle @larasophiebartsch @limo0811 @nocny_bezdomny :)
852,Brauch ich 🤓✌🏻
853,Trifft voll auf meine Muddi zu 🙌😂😂😂 @your.life.your.dance Kann ich mir bei euch oben ne Flasche abholen kommen @truefruitssmoothies ? 🥰😁
854,In Deutschland ist das Widder meistens scheiße.
855,@m1893p
856,@annikahofmaier Widder 😍
857,"Steht nicht in den Sternen, sondern ab jetzt im Kühlregal. Unsere Horoskopus-Pullen sind sternhagelvoll mit Flaschentexten zu jedem Sternzeichen und natürlich mit all unseren Smoothies. Ab jetzt in den Supermärkten, in denen Du unsere 750 ml-Pullen sonst auch kaufst #horoskopus #newtexteinthehouse #truefruits"
858,"@truefruitssmoothies Schade, dass man sie nicht online kaufen kann. Die beiden Sternzeichen von meinen Jungs fehlen noch. Schöne Idee 🤩"
859,"@cheshy die sind sehr gut als vorrat glass f Müslie, Nudeln, Reis..."
860,@deineastrotante lies mal die Kommentare 😂😂😂
861,@liv.wr (:
862,Warum ist beim Sternzeichen Zwilling 2x rastlos? 🤔
863,"@mellysmakeup hab schon Stier, du brauchst deins auch 😂😍"
864,Wieso steht bei Zwilling zweimal rastlos ? @truefruitssmoothies ?
865,Online nicht erhältlich? Lebe in der Schweiz….
866,@dariia_flo
867,Ich brauch den Steinbock. Nirgends zu finden 🙄
868,"@barnyooo falls du die zwilling Flasche zufällig beim einkaufen findest, I'm here for it 🙋🏻‍♀️😁😍"
869,@sasizzl
870,Brauche unbedingt eine Krebsflasche oder zwei. Würde die gerne leer meiner Schwester schenken und daraus n Geschenk zum 40. GEBURTSTAG schenken
871,@__mone___ 😱😱lieben wir die Idee 🤩😍
872,Bis jetzt nirgendwo fündig gweorden🙄😤😤
873,@sternkompass 😂
874,Wo in 06869?
875,Gibt es di in linz?😢
876,"Bei uns gibts die wieder nicht, hätte so gerne alle 🥺"
877,Zwilling = Zwei Gesichter. An Hinterhältigkeit kaum zu übertreffen. Das fehlt auf der falsche 👏
878,Ein ordentlicher Fetisch #redlikedistrict #truefruitsupcycling #truefruits
879,Wohl eher ein Geld Fetisch.
880,brokkoli passt da auch gut rein
881,pls dont kinkshame me
882,"Nicht vergessen Safewords auszumachen, dass nichts falsches in den Trichter kommt! Und Vorsicht vor Fake-Flaschen die meinen sie brauchen keine!"
883,Niemand braucht 2 Trichter 😂
884,@giuseintili 😍
885,"Mein Paket von euch ist heute angekommen und was soll ich sagen, ich bin begeistert😍 schön wäre wenn es den Spenderaufsatz bald wieder gäbe"
886,Gibt es den Säft von euch noch?
887,Da seh ich mich.
888,Saftiger Handjob #höhö
889,@michelleby
890,@tiffany_lsg
891,@cruong ☝🏼
